Year;Ticker;Price;PriceFiscal;PDRNG;PDRO;PDRTotal;PNG;PO;TPRNG;TPRO;TPRTotal
1997;COG;0,126690529;0,126690529;;;;;;;;
1998;COG;-0,259179712;-0,259179712;;;;;;;;
1999;COG;0,068437162;0,068437162;;;;;;;;
2000;COG;0,663530011;0,663530011;0,046486082;0,419668367;0,41304406;-0,072816968;0,025506165;0,031366002;0,191156109;0,188410208
2001;COG;-0,259882377;-0,259882377;0,063735012;0,596935908;0,590845194;0,127767688;0,694195948;0,077003745;0,685858223;0,678594861
2002;COG;0,02990188;0,02990188;0,018184581;-0,144401472;-0,142871374;0,063001937;0,407907964;0,023802211;-0,067835966;-0,067001804
2003;COG;0,16925567;0,16925567;-0,008741902;-0,344038286;-0,339987673;-0,024643089;-0,022203555;0,008003073;-0,418516802;-0,41346454
2004;COG;0,410562825;0,410562825;0,054565499;-0,083450955;-0,081353084;0,012809439;-0,341115931;0,058646342;-0,061244495;-0,059397527
2005;COG;0,019026875;0,019026875;0,096665319;0,053446545;0,054164262;0,014259471;-0,137333815;0,1069512;0,006915596;0,008632443
2006;COG;0,296237389;0,296237389;0,05352438;-0,43713252;-0,426446318;0,076116963;-0,213272933;0,080790147;-0,363063624;-0,353046356
2007;COG;-0,407032701;-0,407032701;0,128868257;0,17551302;0,174263023;0,009400994;-0,534836381;0,131091715;0,156959796;0,156249447
2008;COG;-0,439990397;-0,439990397;0,142904462;-0,043339631;-0,037991525;0,116574201;-0,05110146;0,18979878;0,001392683;0,006998819
2009;COG;0,516731228;0,516731228;-0,015395917;-0,100944333;-0,098144807;0,079568765;0,045007596;0,065252148;-0,182471445;-0,173361585
2010;COG;-0,141196786;-0,141196786;0,266435281;0,158837383;0,162703251;0,248009023;-0,012300278;0,272646058;0,198402113;0,201582223
2011;COG;0,695785705;0,695785705;0,030824516;0,426608132;0,41416863;0,354437717;0,543934782;0,095771537;0,768616419;0,746645656
2012;COG;-0,422607246;-0,422607246;0,245222142;0,160851178;0,163118042;0,347643407;0,476626763;0,239126939;0,174556591;0,176099132
2013;COG;-0,249420651;-0,249420651;0,350745849;0,062255749;0,071570875;0,442678704;0,251116173;0,359511825;0,085060678;0,092815164
2014;COG;-0,269276645;-0,269276645;0,321194289;0,690102703;0,678622808;0,253623053;0,219110447;0,290793375;0,694276997;0,683534071
2015;COG;-0,515112634;-0,515112634;0,074799137;-0,061943407;-0,058158456;0,108112631;0,414160011;0,103721217;0,047663937;0,048916109
1994;DNR;;;;;;;;;;
1995;DNR;-0,182321557;-0,182321557;;;;;;;;
1996;DNR;1,54329811;1,54329811;;;;;;;;
1997;DNR;0,241772371;0,241772371;;;;;;;;
1998;DNR;-1,462986982;-1,462986982;;;;;;;;
1999;DNR;-0,014598799;-0,014598799;;;;;;;;
2000;DNR;0,95097629;0,95097629;0,619502838;0,468587331;0,46862182;0,282645392;0,230143693;0,689910257;0,309970984;0,31004593
2001;DNR;-0,408651999;-0,408651999;0,786748373;0,04425658;0,044527661;0,83246245;0,109366881;0,679009927;0,07918131;0,079376133
2002;DNR;0,435559452;0,435559452;-0,173663291;0,131267401;0,131131462;0,164147199;0,103680874;0,013376149;0,239641562;0,239554112
2003;DNR;0,20780528;0,20780528;0,013479036;-0,14818541;-0,148118505;-0,056962686;0,003195355;0,099127052;-0,063023256;-0,062962625
2004;DNR;0,679758162;0,679758162;-0,425636093;0,039968162;0,039801313;;;-0,275327453;0,100510168;0,100383267
2005;DNR;-0,18648321;-0,18648321;0,472407608;0,048451659;0,048600225;;;0,502099597;0,041812427;0,041975018
2006;DNR;0,198793286;0,198793286;0,15237376;0,298751446;0,298692903;0,347361733;0,136333759;0,036880581;0,081254759;0,08123563
2007;DNR;0,068152888;0,068152888;0,247580005;0,104488134;0,104545266;0,156418969;0,196808406;0,216408902;0,032209681;0,032294947
2008;DNR;-1,002233162;-1,002233162;0,275742568;-0,049159104;-0,048994618;-0,079817101;0,121080513;0,17678818;0,294768672;0,294712268
2009;DNR;0,30403121;0,30403121;-1,455962178;0,314846734;0,314354619;-0,279084404;0,159537523;-1,581965367;0,19018818;0,189814228
2010;DNR;0,254537457;0,254537457;0,463646521;0,640987961;0,640971555;0,140197262;0,482796588;1,403181376;0,565626004;0,565726384
