Year;Ticker;Price;PriceFiscal;PDRNG;PDRO;PDRTotal;PNG;PO;TPRNG;TPRO;TPRTotal
2011;PXD;89,48;89,48;1853363;190206;190514,8938;133205000;15219;2531038;430005;430426,8397
2012;PXD;106,59;106,59;1605209;230700;230967,5348;142267000;23085;2197480;486838;487204,2467
2013;PXD;184,07;184,07;1703667;256638;256921,9445;138878000;27455;1906341;342105;342422,7235
2014;PXD;148,85;148,85;1486289;267193;267440,7148;137686000;32718;1668872;352084;352362,1453
2015;PXD;125,38;125,38;1284680;266657;266871,1133;131642000;38452;1356487;311970;312196,0812
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1988;DVN;4,75;4,75;;;;;;;;
1989;DVN;13,5;13,5;;;;;;;;
1990;DVN;11,5;11,5;;;;;;;;
1991;DVN;8,875;8,875;;;;;;;;
1992;DVN;15;15;;;;;;;;
1993;DVN;20,625;20,625;;;;;;;;
1994;DVN;18,25;18,25;;;;;;;;
1995;DVN;25,5;25,5;;;;;;;;
1996;DVN;34,75;34,75;;;;;;;;
1997;DVN;38,5;38,5;;;;;;;;
1998;DVN;30,6875;30,6875;;;;;;;;
1999;DVN;32,875;32,875;1751385;171249;171540,8975;198457000;15416;1896527;303917;304233,0878
2000;DVN;60,97;60,97;2631267;261432;261870,5445;426100000;42561;3458184;459244;459820,364
2001;DVN;38,65;38,65;3948000;324000;324658;497500000;44400;5477000;586000;586912,8333
2002;DVN;45,9;45,9;4618000;260000;260769,6667;761100000;41900;5836000;444000;444972,6667
2003;DVN;57,26;57,26;5980000;408000;408996,6667;863400000;61900;7316000;661000;662219,3333
2004;DVN;38,92;38,92;6219000;411000;412036,5;890400000;78200;7494000;596000;597249
2005;DVN;62,54;62,54;6111000;363000;364018,5;827000000;64400;7296000;649000;650216
2006;DVN;67,08;67,08;6518000;358000;359086,3333;814600000;55000;8356000;708000;709392,6667
2007;DVN;88,91;88,91;7255000;391000;392209,1667;862600000;54600;8994000;677000;678499
2008;DVN;65,71;65,71;8044000;301000;302340,6667;940000000;53000;9885000;429000;430647,5
2009;DVN;73,5;73,5;7845000;289000;290307,5;966400000;41900;9757000;686000;687626,1667
2010;DVN;78,51;78,51;8424000;257000;258404;929500000;40600;10283000;681000;682713,8333
2011;DVN;62;62;8908000;309000;310484,6667;952500000;44700;10486000;705000;706747,6667
2012;DVN;52,04;52,04;8070000;327000;328345;938000000;53500;9446000;798000;799574,3333
2013;DVN;61,87;61,87;8459000;361000;362409,8333;873600000;61400;9308000;837000;838551,3333
2014;DVN;61,21;61,21;6984000;415000;416164;0;0;7687000;895000;896281,1667
2015;DVN;32;32;5707000;444000;444951,1667;0;0;5821000;784000;784970,1667
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1989;EOG;25,25;25,25;;;;;;;;
1990;EOG;21,25;21,25;;;;;;;;
1991;EOG;19,5;19,5;;;;;;;;
1992;EOG;29,375;29,375;;;;;;;;
1993;EOG;39;39;;;;;;;;
1994;EOG;18,75;18,75;;;;;;;;
1995;EOG;24;24;;;;;;;;
1996;EOG;25,25;25,25;;;;;;;;
1997;EOG;21,187;21,187;;;;;;;;
1998;EOG;17,25;17,25;;;;;;;;
1999;EOG;17,5625;17,5625;2147800;52591;52948,96667;0;0;3175300;72506;73035,21667
2000;EOG;54,625;54,625;2185000;50794;51158,16667;0;0;3380600;73402;73965,43333
2001;EOG;39,11;39,11;2796600;56172;56638,1;0;0;3796500;72134;72766,75
2002;EOG;39,92;39,92;1658700;47476;47752,45;0;0;2006200;63355;63689,36667
2003;EOG;46,17;46,17;3068400;69545;70056,4;0;0;4644800;95263;96037,13333
2004;EOG;71,36;71,36;3743500;78910;79533,91667;0;0;5047000;99959;100800,1667
2005;EOG;73,37;73,37;3964300;86447;87107,71667;449500000;13183;5557400;106170;107096,2333
2006;EOG;62,45;62,45;4207400;95163;95864,23333;493700000;13654;6094900;117800;118815,8167
2007;EOG;89,25;89,25;5150500;137411;138269,4167;542600000;15841;6669100;179334;180445,5167
2008;EOG;66,58;66,58;5552300;176844;177769,3833;603500000;22496;7339200;225032;226255,2
2009;EOG;97,3;97,3;4633200;204177;204949,2;616800000;20133;8898100;313000;314483,0167
2010;EOG;91,41;91,41;4457800;270017;270759,9667;633400000;27284;8470200;385922;387333,7
2011;EOG;98,51;98,51;4155600;350118;350810,6;595800000;41382;7850900;517493;518801,4833
2012;EOG;120,79;120,79;2979500;453242;453738,5833;556600000;57795;4739500;700800;701589,9167
2013;EOG;167,84;167,84;3213400;391056;391591,5667;502400000;80500;5044800;900500;901340,8
2014;EOG;92,07;92,07;3528300;495148;495736,05;506300000;105448;5342600;1139800;1140690,433
2015;EOG;70,79;70,79;2528300;445202;445623,3833;475700000;103797;3825900;1097596;1098233,65
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1989;COG;;;;;;;;;;
1990;COG;15,875;18,125;;;;;;;;
1991;COG;12,25;12,25;;;;;;;;
1992;COG;17,875;17,875;;;;;;;;
1993;COG;21,125;21,125;;;;;;;;
1994;COG;14,5;14,5;;;;;;;;
1995;COG;14,625;14,625;;;;;;;;
1996;COG;17,125;17,125;;;;;;;;
1997;COG;19,438;19,438;;;;;;;;
1998;COG;15;15;;;;;;;;
1999;COG;16,0625;16,0625;720670;5546;5666,111667;65500000;929;929602;8189;8343,933667
2000;COG;31,1875;31,1875;754962;8438;8563,827;60900000;953;959222;9914;10073,87033
2001;COG;24,05;24,05;804646;15328;15462,10767;69200000;1908;1036004;19684;19856,66733
2002;COG;24,78;24,78;819412;13267;13403,56867;73700000;2869;1060959;18393;18569,8265
2003;COG;29,35;29,35;812280;9405;9540,38;71906000;2806;1069484;12103;12281,24733
2004;COG;44,25;44,25;857834;8652;8794,972333;72833000;1995;1134081;11384;11573,0135
2005;COG;45,1;45,1;944897;9127;9284,482833;73879000;1739;1262096;11463;11673,34933
2006;COG;60,65;60,65;996850;5895;6061,141667;79722000;1405;1368293;7973;8201,048833
2007;COG;40,37;40,37;1133957;7026;7214,992833;80475000;823;1559953;9328;9587,992167
2008;COG;26;26;1308155;6728;6946,025833;90425000;782;1885993;9341;9655,332167
2009;COG;43,59;43,59;1288169;6082;6296,694833;97914000;818;2013162;7783;8118,527
2010;COG;37,85;37,85;1681451;7129;7409,241833;125474000;808;2644158;9491;9931,693
2011;COG;75,9;75,9;1734088;10922;11211,01467;178848000;1392;2909916;20470;20954,986
2012;COG;49,74;49,74;2216000;12828;13197,33333;253200000;2242;3696000;24374;24990
2013;COG;38,76;38,76;3147000;13652;14176,5;394200000;2882;5295000;26538;27420,5
2014;COG;29,61;29,61;4339000;27221;27944,16667;508000000;3588;7082000;53136;54316,33333
2015;COG;17,69;17,69;4676000;25586;26365,33333;566000000;5429;7856000;55730;57039,33333
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1994;DNR;3,75;3,75;;;;;;;;
1995;DNR;3,125;3,125;;;;;;;;
1996;DNR;14,625;14,625;;;;;;;;
1997;DNR;18,625;18,625;;;;;;;;
1998;DNR;4,3125;4,3125;;;;;;;;
1999;DNR;4,25;4,25;41635;32767;32773,93917;10201000;4413;50438;51832;51840,40633
2000;DNR;11;11;77358;52353;52365,893;13533000;5555;100550;70667;70683,75833
2001;DNR;7,31;7,31;169897;54722;54750,31617;31112000;6197;198277;76490;76523,04617
2002;DNR;11,3;11,3;142812;62398;62421,802;36662000;6874;200947;97203;97236,49117
2003;DNR;13,91;13,91;144750;53804;53828,125;34632000;6896;221887;91266;91302,98117
2004;DNR;27,45;27,45;94573;55998;56013,76217;0;0;168484;100916;100944,0807
2005;DNR;22,78;22,78;151681;58778;58803,28017;21424000;7305;278367;105225;105271,3945
2006;DNR;27,79;27,79;176647;79243;79272,44117;30322000;8372;288825;114132;114180,1375
2007;DNR;29,75;29,75;226271;87971;88008,71183;35456000;10193;358608;117868;117927,768
2008;DNR;10,92;10,92;298114;83751;83800,68567;32736000;11505;427955;158275;158346,3258
2009;DNR;14,8;14,8;69513;114743;114754,5855;24764000;13495;87975;191430;191444,6625
2010;DNR;19,09;19,09;110516;217823;217841,4193;28491000;21870;357893;337022;337081,6488
2011;DNR;15,1;15,1;125970;238500;238520,995;10783000;22169;625208;356488;356592,2013
2012;DNR;16,2;16,2;64191;233901;233911,6985;10654000;24462;481641;326870;326950,2735
2013;DNR;16,43;16,43;72095;276392;276404,0158;8666000;24194;489954;386659;386740,659
2014;DNR;8,13;8,13;72095;276392;276404,0158;8379000;25771;452402;362335;362410,4003
2015;DNR;2,02;2,02;37951;223060;223066,3252;8092780;25245,225;38305;282250;282256,3842
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1991;SM;;;;;;;;;;
1992;SM;11,5;11,5;;;;;;;;
1993;SM;12,25;12,25;;;;;;;;
1994;SM;13,25;13,25;;;;;;;;
1995;SM;14;14;;;;;;;;
1996;SM;24,875;24,875;;;;;;;;
1997;SM;35;35;;;;;;;;
1998;SM;18,5;18,5;;;;;;;;
1999;SM;24,75;24,75;169379;16688;16716,22983;22805000;1383;207642;18900;18934,607
2000;SM;33,3125;33,3125;192472;19006;19038,07867;38346000;2398;225975;20950;20987,6625
2001;SM;21,19;21,19;205637;20679;20713,27283;39491000;2434;241231;23669;23709,20517
2002;SM;25;25;228973;33580;33618,16217;38164000;2815;274172;36119;36164,69533
2003;SM;28,5;28,5;264140;43693;43737,02333;49663000;4541;307024;47787;47838,17067
2004;SM;41,74;41,74;272295;47992;48037,3825;46598000;4799;319196;56574;56627,19933
2005;SM;36,81;36,81;313125;55971;56023,1875;51801000;5927;417075;62903;62972,5125
2006;SM;36,84;36,84;358477;61519;61578,74617;56448000;6057;482475;74195;74275,4125
2007;SM;38,61;38,61;426627;68277;68348,1045;66061000;6907;613450;78847;78949,24167
2008;SM;20,31;20,31;433210;47106;47178,20167;74910000;6615;557366;51363;51455,89433
2009;SM;34,24;34,24;342000;48000;48057;71106000;6328;449500;53800;53874,91667
2010;SM;58,93;58,93;411000;46000;46068,5;71900000;6400;640000;57400;57506,66667
2011;SM;73,1;73,1;451200;50300;50375,2;100309000;8080;664000;71700;71810,66667
2012;SM;52,21;52,21;483200;58800;58880,53333;120000000;10400;833400;92200;92338,9
2013;SM;83,11;83,11;569200;70200;70294,86667;149300000;13900;1189300;126600;126798,2167
2014;SM;38,58;38,58;784600;89300;89430,76667;152900000;16700;1466500;169700;169944,4167
2015;SM;19,66;19,66;644400;75600;75707,4;173600000;19200;1264000;145300;145510,6667
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1991;EGY;;;;;;;;;;
1992;EGY;;;;;;;;;;
1993;EGY;5,25;5,25;;;;;;;;
1994;EGY;0,625;0,625;;;;;;;;
1995;EGY;0,187;0,187;;;;;;;;
1996;EGY;0,281;0,281;;;;;;;;
1997;EGY;1,937;1,937;;;;;;;;
1998;EGY;0,891;0,891;;;;;;;;
1999;EGY;0,625;0,625;0;0;;0;0;0;661;661
2000;EGY;0,375;0,375;0;0;;0;0;0;668;668
2001;EGY;0,55;0,55;69;349;349,0115;0;0;69;6432;6432,0115
2002;EGY;1,47;1,47;77;3467;3467,012833;0;0;77;5453;5453,012833
2003;EGY;1,4;1,4;140;6492;6492,023333;0;0;140;9011;9011,023333
2004;EGY;3,88;3,88;54;4738;4738,009;0;0;54;8734;8734,009
2005;EGY;4,24;4,24;21;5326;5326,0035;0;0;21;7827;7827,0035
2006;EGY;6,75;6,75;17;4686;4686,002833;0;0;17;5991;5991,002833
2007;EGY;4,65;4,65;61;4506;4506,010167;0;0;61;6214;6214,010167
2008;EGY;7,44;7,44;30;4751;4751,005;0;0;30;7422;7422,005
2009;EGY;4,55;4,55;23;4795;4795,003833;0;0;23;7363;7363,003833
2010;EGY;7,16;7,16;23;5029;5029,003833;0;0;23;6922;6922,003833
2011;EGY;6,04;6,04;856;3854;3854,142667;0;0;1925;6048;6048,320833
2012;EGY;8,65;8,65;1544;3750;3750,257333;532000;1741;1544;7488;7488,257333
2013;EGY;6,89;6,89;1333;3305;3305,222167;325000;1549;1333;7232;7232,222167
2014;EGY;4,56;4,56;1406;3224;3224,234333;227000;1351;1406;8260;8260,234333
2015;EGY;1,6;1,6;1053;2855;2855,1755;181000;1659;1053;2855;2855,1755
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1992;CHK;;;;;;;;;;
1993;CHK;4,75;10,75;;;;;;;;
1994;CHK;15,75;7,75;;;;;;;;
1995;CHK;33,25;25,75;;;;;;;;
1996;CHK;55,625;89,875;;;;;;;;
1997;CHK;7,562;9,937;;;;;;;;
1998;CHK;0,9375;0,9375;;;;;;;;
1999;CHK;2,375;2,375;763323;17750;17877,2205;108610000;4147;1056826;24795;24971,13767
2000;CHK;10,125;10,125;858463;15445;15588,07717;115771000;3068;1212033;23797;23999,0055
2001;CHK;6,61;6,61;1134381;22496;22685,0635;144171000;2880;1599386;30093;30359,56433
2002;CHK;7,74;7,74;1458284;28111;28354,04733;160682000;3466;1979601;37587;37916,9335
2003;CHK;13,58;13,58;2121734;38442;38795,62233;240366000;4665;2860040;51422;51898,67333
2004;CHK;16,5;16,5;2842141;61713;62186,69017;322009000;6764;4373989;87960;88688,99817
2005;CHK;31,73;31,73;4442270;76238;76978,37833;422389000;7698;6900754;103323;104473,1257
2006;CHK;29,05;29,05;5113211;76705;77557,20183;526459000;8654;8319434;106030;107416,5723
2007;CHK;39,2;39,2;6408622;88834;89902,10367;654969000;9882;10137299;123554;125243,5498
2008;CHK;16,17;16,17;7581523;84913;86176,58717;775424000;11220;11327455;120632;122519,9092
2009;CHK;25,88;25,88;7859000;78800;80109,83333;834800000;11800;13510000;124000;126251,6667
2010;CHK;25,91;25,91;8246000;149300;150674,3333;924900000;18395;15455000;273400;275975,8333
2011;CHK;22,29;22,29;8578000;254600;256029,6667;1004100000;31676;15515000;545500;548085,8333
2012;CHK;16,62;16,62;7174000;162900;164095,6667;1128800000;31300;10933000;495500;497322,1667
2013;CHK;27,14;27,14;8584000;201300;202730,6667;1094600000;41100;11734000;423800;425755,6667
2014;CHK;19,57;19,57;8615000;229300;230735,8333;1095000000;42300;10692000;420800;422582
2015;CHK;4,5;4,5;5329000;215600;216488,1667;1070000000;42000;6041000;313700;314706,8333
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1992;NFX;;;;;;;;;;
1993;NFX;17,625;17,625;;;;;;;;
1994;NFX;20;20;;;;;;;;
1995;NFX;27;27;;;;;;;;
1996;NFX;26;26;;;;;;;;
1997;NFX;23,312;23,312;;;;;;;;
1998;NFX;20,875;20,875;;;;;;;;
1999;NFX;26,75;26,75;376820;23256;23318,80333;87400000;4354;440173;25770;25843,36217
2000;NFX;47,4375;47,4375;416368;24040;24109,39467;105400000;5764;519723;27934;28020,6205
2001;NFX;35,51;35,51;662879;34534;34644,47983;133200000;6998;718312;36342;36461,71867
2002;NFX;36,05;36,05;905062;36513;36663,84367;144700000;6575;977115;38125;38287,8525
2003;NFX;44,54;44,54;958232;30714;30873,70533;184200000;6054;1090140;37774;37955,69
2004;NFX;59,05;59,05;1005300;55400;55567,55;198200000;7565;1241000;90500;90706,83333
2005;NFX;50,07;50,07;1010200;58900;59068,36667;191000000;8446;1391300;101600;101831,8833
2006;NFX;45,95;45,95;1093600;65100;65282,26667;198700000;7315;1586200;114300;114564,3667
2007;NFX;52,7;52,7;1136000;71000;71189,33333;194400000;8759;1810000;114000;114301,6667
2008;NFX;19,75;19,75;1336000;81800;82022,66667;172900000;10575;2109800;140300;140651,6333
2009;NFX;48,23;48,23;1397000;85000;85232,83333;174300000;13179;2605000;169000;169434,1667
2010;NFX;72,11;72,11;1505000;110000;110250,8333;196000000;14555;2492000;204000;204415,3333
2011;NFX;37,73;37,73;1409000;110000;110234,8333;175200000;17654;2333000;247000;247388,8333
2012;NFX;26,78;26,78;1042000;110000;110173,6667;144700000;21902;1755000;237000;237292,5
2013;NFX;24,63;24,63;1055000;127000;127175,8333;116100000;14200;1648000;270000;270274,6667
2014;NFX;27,12;27,12;938000;144000;144156,3333;118200000;19046;1607000;301000;301267,8333
2015;NFX;32,56;32,56;942000;125000;125157;116300000;26745;1305000;207000;207217,5
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
2001;WLL;;;136817;11046;11068,80283;19800000;2100;227521;14805;14842,92017
2002;WLL;;;167618;23784;23811,93633;21400000;2300;235988;29458;29497,33133
2003;WLL;18,4;18,4;171881;26157;26185,64683;21600000;2600;231012;34639;34677,502
2004;WLL;30,25;30,25;242662;60625;60665,44367;25071000;3662;339856;87588;87644,64267
2005;WLL;40;40;267429;111954;111998,5715;30272000;7032;386412;199199;199263,402
2006;WLL;46,6;46,6;226516;122496;122533,7527;32147000;9799;318873;195035;195088,1455
2007;WLL;57,66;57,66;237030;127291;127330,505;30764000;9579;326742;196318;196372,457
2008;WLL;33,46;33,46;229224;120961;120999,204;30419000;12448;354779;180008;180067,1298
2009;WLL;71,45;71,45;178782;144813;144842,797;29333000;15381;307393;223796;223847,2322
2010;WLL;117,19;117,19;220530;178409;178445,755;27392000;19030;303544;254278;254328,5907
2011;WLL;46,69;46,69;211297;203084;203119,2162;26443000;20373;284975;297753;297800,4958
2012;WLL;43,37;43,37;160893;190845;190871,8155;25827000;23139;224264;301285;301322,3773
2013;WLL;61,87;61,87;267555;109268;109312,5925;26915000;27035;277514;347421;347467,2523
2014;WLL;33;33;298237;333593;333642,7062;30219000;33485;492020;643629;643711,0033
